street	city	price	sqms	sqmp	rooms	dos	qos	yoc	lon	lat
Æblerosestien 12	3460 Birkerød	3205e3	155	20677	6	2014-11-24	2014.4	1957-01-01	12.4173524	55.8411261
Bregnerødvej 51	3460 Birkerød	31e5	166	18675	6	2014-11-21	2014.4	1974-01-01	12.4168002	55.83842869999999
Vestre Teglværksvej 7	3460 Birkerød	2995e3	147	20374	3	2014-11-19	2014.4	2016-01-01	12.3758033	55.85537300000001
Storkevænget 28	3460 Birkerød	375e4	148	25338	5	2014-11-17	2014.4	1964-01-01	12.451471	55.850112
Stenløkken 1	3460 Birkerød	43e5	211	20379	6	2014-11-13	2014.4	1974-01-01	12.4235979	55.857352
Stenhøjgårdsvej 45	3460 Birkerød	5775e3	195	29615	7	2014-11-13	2014.4	1995-01-01	12.416756	55.85683599999999
Rørsangervej 23	3460 Birkerød	3315e3	149	22248	5	2014-11-10	2014.4	1966-01-01	12.448704	55.849902
Storevang 49	3460 Birkerød	575e4	218	26376	7	2014-11-09	2014.4	1964-01-01	12.4437182	55.85746289999999
Marianelundsvej 4	3460 Birkerød	325e4	150	21667	5	2014-11-05	2014.4	1960-01-01	12.445458	55.84556
Solbjærget 36	3460 Birkerød	5925e3	158	37500	6	2014-11-02	2014.4	1952-01-01	12.431361	55.8574535
Vasevej 89B	3460 Birkerød	395e4	133	29699	5	2014-10-30	2014.4	1959-01-01	12.439721	55.827667
Bakkevej 55	3460 Birkerød	51e5	249	20482	6	2014-10-27	2014.4	1943-01-01	12.4322801	55.8537632
Kastaniebakken 5	3460 Birkerød	5025e3	170	29559	6	2014-10-26	2014.4	1962-01-01	12.433622	55.826785
Egebakken 5	3460 Birkerød	54e5	158	34177	5	2014-10-21	2014.4	1963-01-01	12.440298	55.825331
Eskemosegårds Alle 25	3460 Birkerød	3540500	159	22267	7	2014-10-21	2014.4	1974-01-01	12.4413016	55.85269599999999
Solbjærget 33	3460 Birkerød	36e5	160	22500	6	2014-10-17	2014.4	1952-01-01	12.43069	55.8575466
Storkevænget 2	3460 Birkerød	4345e3	165	26333	6	2014-10-17	2014.4	1962-01-01	12.452988	55.848478
Lærkebakken 22	3460 Birkerød	415e4	143	29021	5	2014-10-15	2014.4	1985-01-01	12.43071	55.820384
Hestkøbvej 3	3460 Birkerød	61e5	272	22426	7	2014-10-13	2014.4	1946-01-01	12.422687	55.837763
P M Møllers Vej 9	3460 Birkerød	53e5	170	31176	5	2014-10-09	2014.4	1999-01-01	12.455152	55.8625735
Jeppe Aakjærs Vej 10	3460 Birkerød	4525e3	147	30782	5	2014-10-08	2014.4	1967-01-01	12.459384	55.860004000000004
Fuglesangsvej 2	3460 Birkerød	26e5	109	23853	5	2014-10-08	2014.4	1953-01-01	12.4178767	55.8510806
Stenhøjgårdsvej 41	3460 Birkerød	3675e3	130	28269	4	2014-10-07	2014.4	1984-01-01	12.417584	55.856795
Furesøparkalle 16	3460 Birkerød	38e5	120	31667	4	2014-10-02	2014.4	1958-01-01	12.435069	55.823823
Stenløkken 65	3460 Birkerød	46e5	208	22115	7	2014-09-30	2014.3	1984-01-01	12.4201594	55.8581916
Nordvangsparken 37	3460 Birkerød	455e4	148	30743	4	2014-09-30	2014.3	1965-01-01	12.4205299	55.8277816
Æblerosestien 7B	3460 Birkerød	2795e3	122	22910	6	2014-09-29	2014.3	1947-01-01	12.4163049	55.8419544
Stenløkken 31	3460 Birkerød	385e4	169	22781	6	2014-09-28	2014.3	1978-01-01	12.421033	55.85803
Bregnerødvej 7	3460 Birkerød	5e6	115	43478	3	2014-09-26	2014.3	1777-01-01	12.4259679	55.838552
Nobisvej 78	3460 Birkerød	49e5	175	28e3	5	2014-09-25	2014.3	1978-01-01	12.4430643	55.8425343
Hestkøb Vænge 5	3460 Birkerød	375e4	143	26224	4	2014-09-22	2014.3	1978-01-01	12.4133231	55.83428
Pilegårdsparken 43	3460 Birkerød	335e4	113	29646	4	2014-09-19	2014.3	1966-01-01	12.4066296	55.8420788
Lindevangsvej 17E	3460 Birkerød	4895e3	203	24113	7	2014-09-19	2014.3	1962-01-01	12.423967	55.834517
Lærkebakken 23	3460 Birkerød	39e5	153	25490	5	2014-09-17	2014.3	1987-01-01	12.431154	55.820902
Abildgårdsparken 9	3460 Birkerød	3e6	125	24e3	5	2014-09-16	2014.3	1967-01-01	12.4202945	55.8244024
Lillevang 14	3460 Birkerød	225e4	185	12162	6	2014-09-15	2014.3	2015-01-01	12.442979	55.85130359999999
Bistrupvej 48	3460 Birkerød	29e5	96	30208	4	2014-09-11	2014.3	1949-01-01	12.430156	55.8345266
Vandtårnsvej 34	3460 Birkerød	44e5	164	26829	5	2014-09-08	2014.3	1969-01-01	12.446031	55.844807
Steen Blichers Vej 7	3460 Birkerød	1625e3	233	6974	6	2014-09-04	2014.3	1968-01-01	12.460697	55.859671
