street	city	price	sqms	sqmp	rooms	dos	qos	yoc
Lerbakken 6	3460 Birkerød	36e5	214	16822	8	2016-02-16	2016.1	1961-01-01
Bistrupgårdsvej 29	3460 Birkerød	295e4	102	28922	4	2016-02-13	2016.1	1960-01-01
Søvang 26	3460 Birkerød	355e4	130	27308	5	2016-02-12	2016.1	1964-01-01
Kajerødvej 136	3460 Birkerød	33e5	135	24444	4	2016-02-11	2016.1	1966-01-01
Søvang 17	3460 Birkerød	393e4	120	32750	4	2016-02-10	2016.1	1965-01-01
Gyvelbakken 29	3460 Birkerød	43e5	176	24432	6	2016-02-04	2016.1	1959-01-01
Søvang 15	3460 Birkerød	35e5	253	13834	9	2016-02-03	2016.1	1965-01-01
Skovvang 8	3460 Birkerød	3995e3	148	26993	6	2016-02-02	2016.1	1968-01-01
Eventyrhaven 1	3460 Birkerød	3e6	127	23622	4	2016-02-01	2016.1	1965-01-01
Kildehøjvej 4	3460 Birkerød	44e5	123	35772	4	2016-01-27	2016.1	1915-01-01
Bistrupvej 40	3460 Birkerød	465e4	192	24219	7	2016-01-18	2016.1	1925-01-01
Fuglesangsvej 31	3460 Birkerød	39e5	176	22159	6	2016-01-11	2016.1	1960-01-01
Tornevænget 6	3460 Birkerød	3395e3	137	24781	5	2015-12-30	2015.4	1963-01-01
Syrenbakken 3	3460 Birkerød	4266667	186	22939	5	2015-12-23	2015.4	1972-01-01
Bistrupvej 164A	3460 Birkerød	4125e3	140	29464	4	2015-12-23	2015.4	1965-01-01
Stenhøjgårdsvej 22	3460 Birkerød	325e4	145	22414	4	2015-12-23	2015.4	1970-01-01
Gyvelbakken 40	3460 Birkerød	1925e3	110	17500	5	2015-12-21	2015.4	1960-01-01
Munkerisparken 37	3460 Birkerød	48e5	179	26816	5	2015-12-20	2015.4	1975-01-01
Julmosevej 20	3460 Birkerød	116e5	275	42182	4	2015-12-19	2015.4	2011-01-01
Bregnerødvej 49	3460 Birkerød	52e5	205	25366	6	2015-12-18	2015.4	1968-01-01
Søborggårdsvej 20	3460 Birkerød	64e5	229	27948	6	2015-12-17	2015.4	1950-01-01
Stenløkken 85	3460 Birkerød	345e4	155	22258	5	2015-12-17	2015.4	1971-01-01
Furesøparkalle 14	3460 Birkerød	49e5	170	28824	5	2015-12-10	2015.4	1976-01-01
Søndervangen 104	3460 Birkerød	65e5	207	31401	7	2015-12-10	2015.4	1963-01-01
Turistvej 206	3460 Birkerød	37e5	134	27612	6	2015-12-09	2015.4	1962-01-01
Søndervangen 72	3460 Birkerød	525e4	170	30882	6	2015-12-04	2015.4	1953-01-01
Gasværksvej 4B	3460 Birkerød	54e5	168	32143	5	2015-12-02	2015.4	1930-01-01
Turistvej 180	3460 Birkerød	52e5	189	27513	6	2015-12-01	2015.4	1962-01-01
Furesøparkalle 39	3460 Birkerød	5845e3	177	33023	7	2015-11-25	2015.4	1965-01-01
Søvang 16	3460 Birkerød	4315e3	165	26152	3	2015-11-25	2015.4	1965-01-01
Rolighedsvej 28	3460 Birkerød	566e4	98	57755	3	2015-11-23	2015.4	1937-01-01
Furesøbakken 13	3460 Birkerød	5515e3	220	25068	5	2015-11-19	2015.4	1966-01-01
Bistrupvej 173	3460 Birkerød	18e5	89	20225	3	2015-11-11	2015.4	1960-01-01
Kajerødvej 132	3460 Birkerød	456e4	190	24e3	6	2015-11-10	2015.4	1966-01-01
Solbjærget 24	3460 Birkerød	43e5	130	33077	5	2015-11-04	2015.4	1952-01-01
Plantagevej 47	3460 Birkerød	395e4	135	29259	5	2015-11-02	2015.4	1960-01-01
Plantagevej 60	3460 Birkerød	34e5	228	14912	9	2015-10-20	2015.4	1955-01-01
Rørmosevej 29	3460 Birkerød	61e5	187	32620	6	2015-10-16	2015.4	2014-01-01
Rolighedsvej 20	3460 Birkerød	32e5	107	29907	4	2015-10-15	2015.4	1934-01-01
Marianelundsvej 20	3460 Birkerød	545e4	185	29459	4	2015-10-13	2015.4	1994-01-01
Søndervangen 60	3460 Birkerød	2025e3	172	11773	6	2015-10-08	2015.4	1954-01-01
Langkærgårdsvej 32	3460 Birkerød	41e5	150	27333	5	2015-10-03	2015.4	1943-01-01
Eventyrhaven 6	3460 Birkerød	3835e3	167	22964	6	2015-09-30	2015.3	1965-01-01
Stenhøjgårdsvej 30	3460 Birkerød	443e4	185	23946	6	2015-09-29	2015.3	1969-01-01
Soldraget 21	3460 Birkerød	29e5	106	27358	4	2015-09-24	2015.3	1959-01-01
Carl Plougs Vej 45	3460 Birkerød	83e5	173	47977	5	2015-09-24	2015.3	1985-01-01
Klintehøj Vænge 13	3460 Birkerød	4e6	97	41237	4	2015-09-23	2015.3	1960-01-01
Morelgangen 17	3460 Birkerød	51e5	165	30909	7	2015-09-18	2015.3	1974-01-01
Fredensvej 9A	3460 Birkerød	295e4	200	14750	7	2015-09-16	2015.3	1964-01-01
Biskop Svanes Vej 35A	3460 Birkerød	2856e3	123	23220	3	2015-09-14	2015.3	1968-01-01
Carl Plougs Vej 16	3460 Birkerød	42e5	144	29167	5	2015-09-10	2015.3	1961-01-01
Bakkevænget 7	3460 Birkerød	4475e3	164	27287	5	2015-09-08	2015.3	1970-01-01
